SNR,BAK,PESQ,SIG,OVRL,environment
17.5,3.9070980307697334,3.330339562892914,3.393616965600075,3.0495822020061327,bus
12.5,3.851046839247824,2.8784988915047993,3.383168111535288,3.0073781738923575,bus
7.5,3.7996494147304714,2.5834022033505324,3.393736158865836,2.98344628015767,bus
2.5,3.5563247109837297,2.010374830990303,3.330568748150624,2.817925073497614,bus
17.5,3.5731417316780174,2.2357845538999976,3.396311932495996,2.896043715446101,cafe
12.5,3.2931588000249525,1.7369569220194003,3.3756848902685963,2.729521266862755,cafe
7.5,2.9807902519834064,1.4377938598394393,3.2647712031711023,2.5212782818920956,cafe
2.5,2.1693184765917954,1.1989351191171786,2.5571355566657195,1.9164040844676564,cafe
17.5,3.5772111872704984,2.363816723227501,3.341026685508831,2.8367988996884757,living
12.5,3.479470255878821,1.9163604861214047,3.37082372321972,2.802719424142622,living
7.5,3.2119603001214863,1.5777944808914548,3.2767287201868722,2.6410333291354156,living
2.5,2.460725330560475,1.2776725604420616,2.852844732663848,2.137210875435597,living
17.5,4.017849376087623,3.3913073714186504,3.394352262973546,3.1003102367584017,office
12.5,3.994060261978727,2.9434139525018086,3.377258939871766,3.073351630602391,office
7.5,3.9227594393822103,2.650724684319845,3.2957546955689536,2.958837856828902,office
2.5,3.7748240156205455,2.144556465744972,3.3115481953045913,2.8989608020268856,office
17.5,3.6836241587817975,2.6309753372555686,3.3964811324977053,2.9444158950468555,psquare
12.5,3.619522029191395,2.0000520050525665,3.421563000645307,2.9394467292506694,psquare
7.5,3.4099700516406677,1.6849011069252378,3.402756368241374,2.8047836220892273,psquare
2.5,3.173715640387061,1.4007055177921202,3.3703913611100282,2.662617249123655,psquare
