SNR,BAK,PESQ,SIG,OVRL,environment
17.5,3.768299187415141,3.1850822389125826,3.4947930122005055,3.06624274815405,bus
12.5,3.6780238779310377,2.686908186935797,3.518237598715161,3.029947944577206,bus
7.5,3.5036462497424736,2.2576202735668276,3.5050195634712495,2.932272075314687,bus
2.5,3.065074902474582,1.7491420158525792,3.3050163372321175,2.622263658163996,bus
17.5,3.299040490351613,1.9174674691223517,3.5772736350072134,2.904668722620051,cafe
12.5,2.874557228892582,1.5352180033195308,3.5209927094252724,2.638455317313735,cafe
7.5,2.2579022405852225,1.3263099789619446,3.074570016235827,2.1767739367799575,cafe
2.5,1.6597394226821556,1.1468708049960252,2.247260421635827,1.6172634699358972,cafe
17.5,3.383904729410014,2.203317704796791,3.5449756421856025,2.906991500965426,living
12.5,2.988732646669181,1.668096539520082,3.385592748885225,2.657756124615424,living
7.5,2.7313030892908294,1.3978207508722942,3.3240483539057513,2.5054779820853588,living
2.5,1.7558680999454157,1.1791273979913621,2.3973840640000352,1.6924514092511767,living
17.5,3.9763748068939657,3.216370989636677,3.4544170989126353,3.135755816805099,office
12.5,3.8467179196754198,2.7787835423539327,3.480928380173944,3.093258884008979,office
7.5,3.6895813434326867,2.2882293462753296,3.460961071093674,2.9817502744462447,office
2.5,3.4040108355795247,1.7577596306800842,3.485709253132259,2.8757683637793465,office
17.5,3.5232444815914814,2.345224556468782,3.564597279991636,3.0066492268610086,psquare
12.5,3.2716122070026485,1.8161603569984437,3.525959069840897,2.8708674683027824,psquare
7.5,2.924053799406912,1.4532399376233418,3.4588853859831725,2.652636738678312,psquare
2.5,2.4977564153268887,1.2421398017464615,3.2082773602885095,2.3281833970170256,psquare
