system,noise,snr_db,metric,n,mean,ci_low,ci_high,nu_mean
AIDA2_betaWFB,ALL,-1.0,PESQ,824,2.092921495437622,2.039588212966919,2.146253824234009,53.733436584472656
AIDA2_betaWFB,ALL,-1.0,CSIG,824,3.408721446990967,3.3497087955474854,3.4666173458099365,51.46760559082031
AIDA2_betaWFB,ALL,-1.0,CBAK,824,2.0935420989990234,2.057833671569824,2.127667188644409,52.40705108642578
AIDA2_betaWFB,ALL,-1.0,COVL,824,2.72184157371521,2.662118911743164,2.781411647796631,53.477596282958984
AIDA2_betauFB,ALL,-1.0,PESQ,824,2.0494449138641357,1.996299147605896,2.1012089252471924,52.324886322021484
AIDA2_betauFB,ALL,-1.0,CSIG,824,3.3688342571258545,3.3086936473846436,3.4275460243225098,50.87644958496094
AIDA2_betauFB,ALL,-1.0,CBAK,824,2.1138594150543213,2.0794997215270996,2.14704966545105,51.00352096557617
AIDA2_betauFB,ALL,-1.0,COVL,824,2.6800167560577393,2.6210944652557373,2.7392418384552,53.12971496582031
AIDA2_thetaWFB,ALL,-1.0,PESQ,824,1.7517298460006714,1.7204970121383667,1.7826231718063354,45.047977447509766
AIDA2_thetaWFB,ALL,-1.0,CSIG,824,3.141300678253174,3.0929877758026123,3.1883723735809326,38.15597152709961
AIDA2_thetaWFB,ALL,-1.0,CBAK,824,2.06436824798584,2.043246030807495,2.085934638977051,46.10860824584961
AIDA2_thetaWFB,ALL,-1.0,COVL,824,2.411095380783081,2.37209415435791,2.4491703510284424,47.92302703857422
AIDA2_thetauFB,ALL,-1.0,PESQ,824,1.6889703273773193,1.6542648077011108,1.7231028079986572,22.089887619018555
AIDA2_thetauFB,ALL,-1.0,CSIG,824,3.0152599811553955,2.964690923690796,3.0636637210845947,41.330101013183594
AIDA2_thetauFB,ALL,-1.0,CBAK,824,2.0778861045837402,2.0567874908447266,2.099424362182617,41.31938552856445
AIDA2_thetauFB,ALL,-1.0,COVL,824,2.3214735984802246,2.2811973094940186,2.361602783203125,42.730796813964844
SEM,ALL,-1.0,PESQ,824,2.0946948528289795,2.040292739868164,2.1490631103515625,55.184932708740234
SEM,ALL,-1.0,CSIG,824,3.409636974334717,3.3490471839904785,3.468079090118408,51.82516860961914
SEM,ALL,-1.0,CBAK,824,2.095588445663452,2.05901837348938,2.132310152053833,53.043941497802734
SEM,ALL,-1.0,COVL,824,2.722769021987915,2.664872169494629,2.779879570007324,54.30326843261719
SEM_lit,ALL,-1.0,PESQ,824,2.1599655151367188,2.108820915222168,2.2124416828155518,56.44590759277344
SEM_lit,ALL,-1.0,CSIG,824,3.4264719486236572,3.3691861629486084,3.4861927032470703,48.43811798095703
SEM_lit,ALL,-1.0,CBAK,824,2.1988840103149414,2.1659536361694336,2.230618476867676,53.313621520996094
SEM_lit,ALL,-1.0,COVL,824,2.7633984088897705,2.706355571746826,2.8205955028533936,54.410240173339844
SEM_lit_uFB,ALL,-1.0,PESQ,824,2.0611467361450195,2.010117292404175,2.109010696411133,53.8374137878418
SEM_lit_uFB,ALL,-1.0,CSIG,824,3.334130048751831,3.2759780883789062,3.3932039737701416,48.617191314697266
SEM_lit_uFB,ALL,-1.0,CBAK,824,2.1914708614349365,2.1591544151306152,2.224020004272461,52.501502990722656
SEM_lit_uFB,ALL,-1.0,COVL,824,2.6674602031707764,2.613384246826172,2.723642349243164,53.413368225097656
SEM_uFB,ALL,-1.0,PESQ,824,2.05145263671875,1.9972097873687744,2.1053245067596436,51.68263626098633
SEM_uFB,ALL,-1.0,CSIG,824,3.363720417022705,3.305283546447754,3.422945499420166,51.318321228027344
SEM_uFB,ALL,-1.0,CBAK,824,2.1151084899902344,2.0793817043304443,2.1506288051605225,51.121612548828125
SEM_uFB,ALL,-1.0,COVL,824,2.6780996322631836,2.6211354732513428,2.7366647720336914,52.57773971557617
Unprocessed,ALL,-1.0,PESQ,824,1.9537394046783447,1.9030519723892212,2.0050582885742188,48.77516174316406
Unprocessed,ALL,-1.0,CSIG,824,3.3366081714630127,3.2749955654144287,3.398003101348877,49.730899810791016
Unprocessed,ALL,-1.0,CBAK,824,2.4338808059692383,2.3867578506469727,2.480498790740967,50.205909729003906
Unprocessed,ALL,-1.0,COVL,824,2.6161787509918213,2.556771993637085,2.6751086711883545,50.82754135131836
AIDA2_betaWFB,bus,2.5,PESQ,42,1.869902491569519,1.698850154876709,2.0406463146209717,20.339563369750977
AIDA2_betaWFB,bus,2.5,CSIG,42,3.2712717056274414,3.100031852722168,3.44638991355896,22.29839515686035
AIDA2_betaWFB,bus,2.5,CBAK,42,1.822220802307129,1.7382144927978516,1.9119700193405151,20.217391967773438
AIDA2_betaWFB,bus,2.5,COVL,42,2.514911413192749,2.3518853187561035,2.6769893169403076,21.234027862548828
AIDA2_betaWFB,bus,7.5,PESQ,41,2.467183828353882,2.264666795730591,2.6645445823669434,25.195568084716797
AIDA2_betaWFB,bus,7.5,CSIG,41,3.8886568546295166,3.7169477939605713,4.061148643493652,24.143259048461914
AIDA2_betaWFB,bus,7.5,CBAK,41,2.2587339878082275,2.154698610305786,2.3551716804504395,24.548255920410156
AIDA2_betaWFB,bus,7.5,COVL,41,3.1506564617156982,2.9773521423339844,3.3344502449035645,24.672454833984375
AIDA2_betaWFB,bus,12.5,PESQ,41,2.8537838459014893,2.692077875137329,3.015655279159546,18.107458114624023
AIDA2_betaWFB,bus,12.5,CSIG,41,4.302428722381592,4.144565582275391,4.449703216552734,20.656692504882812
AIDA2_betaWFB,bus,12.5,CBAK,41,2.573206901550293,2.476531744003296,2.6709342002868652,20.677974700927734
AIDA2_betaWFB,bus,12.5,COVL,41,3.570786714553833,3.4107489585876465,3.7295877933502197,20.637493133544922
AIDA2_betaWFB,bus,17.5,PESQ,40,3.4001049995422363,3.2303128242492676,3.569873571395874,21.565231323242188
AIDA2_betaWFB,bus,17.5,CSIG,40,4.706140041351318,4.5642876625061035,4.846246242523193,17.359207153320312
AIDA2_betaWFB,bus,17.5,CBAK,40,2.9501500129699707,2.8463940620422363,3.0535335540771484,23.15099334716797
AIDA2_betaWFB,bus,17.5,COVL,40,4.092432022094727,3.909465789794922,4.263707160949707,22.356704711914062
AIDA2_betaWFB,cafe,2.5,PESQ,42,1.1701422929763794,1.1338104009628296,1.206771969795227,20.1889591217041
AIDA2_betaWFB,cafe,2.5,CSIG,42,2.004549264907837,1.8699393272399902,2.1359703540802,20.570045471191406
AIDA2_betaWFB,cafe,2.5,CBAK,42,1.3754514455795288,1.333617091178894,1.4161643981933594,24.03349494934082
AIDA2_betaWFB,cafe,2.5,COVL,42,1.4995440244674683,1.4162001609802246,1.5799286365509033,22.989952087402344
AIDA2_betaWFB,cafe,7.5,PESQ,40,1.3639659881591797,1.2873674631118774,1.4502986669540405,13.3290433883667
AIDA2_betaWFB,cafe,7.5,CSIG,40,2.5632894039154053,2.4285619258880615,2.7030155658721924,21.308561325073242
AIDA2_betaWFB,cafe,7.5,CBAK,40,1.6282446384429932,1.5658713579177856,1.6921993494033813,19.399547576904297
AIDA2_betaWFB,cafe,7.5,COVL,40,1.9094396829605103,1.8081347942352295,2.0182528495788574,18.420711517333984
AIDA2_betaWFB,cafe,12.5,PESQ,41,1.6488018035888672,1.5412863492965698,1.7552170753479004,24.586166381835938
AIDA2_betaWFB,cafe,12.5,CSIG,41,3.023798942565918,2.899627208709717,3.1479318141937256,23.064224243164062
AIDA2_betaWFB,cafe,12.5,CBAK,41,1.8893687725067139,1.8291722536087036,1.9501036405563354,24.55973243713379
AIDA2_betaWFB,cafe,12.5,COVL,41,2.2930612564086914,2.1815292835235596,2.4036712646484375,24.10081672668457
AIDA2_betaWFB,cafe,17.5,PESQ,41,2.087462902069092,1.9454078674316406,2.2361338138580322,24.491064071655273
AIDA2_betaWFB,cafe,17.5,CSIG,41,3.5203351974487305,3.3910789489746094,3.6513843536376953,24.409975051879883
AIDA2_betaWFB,cafe,17.5,CBAK,41,2.2219455242156982,2.1407546997070312,2.29982590675354,23.848384857177734
AIDA2_betaWFB,cafe,17.5,COVL,41,2.781416654586792,2.6465888023376465,2.923039436340332,24.596994400024414
AIDA2_betaWFB,living,2.5,PESQ,42,1.2183657884597778,1.1750786304473877,1.262534737586975,22.45503044128418
AIDA2_betaWFB,living,2.5,CSIG,42,2.1786365509033203,2.0617144107818604,2.2812089920043945,10.283015251159668
AIDA2_betaWFB,living,2.5,CBAK,42,1.3992486000061035,1.363831639289856,1.435408115386963,21.914413452148438
AIDA2_betaWFB,living,2.5,COVL,42,1.6128357648849487,1.547694206237793,1.672291874885559,11.738520622253418
AIDA2_betaWFB,living,7.5,PESQ,42,1.5122383832931519,1.417149305343628,1.6046663522720337,24.884958267211914
AIDA2_betaWFB,living,7.5,CSIG,42,2.647569417953491,2.4896223545074463,2.7813475131988525,12.490544319152832
AIDA2_betaWFB,living,7.5,CBAK,42,1.7108160257339478,1.6517918109893799,1.769907832145691,23.248598098754883
AIDA2_betaWFB,living,7.5,COVL,42,2.017624616622925,1.9080692529678345,2.1310436725616455,21.147764205932617
AIDA2_betaWFB,living,12.5,PESQ,42,1.7825003862380981,1.664745569229126,1.8974957466125488,22.61055564880371
AIDA2_betaWFB,living,12.5,CSIG,42,3.0404810905456543,2.9165401458740234,3.16833758354187,17.68946075439453
AIDA2_betaWFB,living,12.5,CBAK,42,1.9447782039642334,1.878881812095642,2.0126187801361084,19.647428512573242
AIDA2_betaWFB,living,12.5,COVL,42,2.370185375213623,2.250978708267212,2.489799976348877,22.18528938293457
AIDA2_betaWFB,living,17.5,PESQ,40,2.349123477935791,2.2362170219421387,2.463576555252075,24.319507598876953
AIDA2_betaWFB,living,17.5,CSIG,40,3.5761160850524902,3.4071080684661865,3.739809989929199,16.578298568725586
AIDA2_betaWFB,living,17.5,CBAK,40,2.3663642406463623,2.3074429035186768,2.425265073776245,23.635950088500977
AIDA2_betaWFB,living,17.5,COVL,40,2.935678243637085,2.799182415008545,3.068500280380249,23.37135887145996
AIDA2_betaWFB,office,2.5,PESQ,40,2.0184264183044434,1.877007007598877,2.160053014755249,24.377727508544922
