system,snr_db,PESQ,SIG,BAK,OVRL,CSIG,CBAK,COVL,n_files
AIDA2_betaWFB,2.5,1.5207415531222948,3.019043779778191,2.833203354561503,2.4000230097702033,2.67662783998614,1.6188405697028845,2.0347077262049753,207
AIDA2_betaWFB,7.5,1.9014764115648362,3.358585508689086,3.3714369952945122,2.782391363311561,3.2114611879743458,1.9469354773829362,2.520017836678831,206
AIDA2_betaWFB,12.5,2.2370846116024516,3.4494954514420093,3.6066341285319528,2.9434520543231346,3.6516319871679466,2.225927985009303,2.925389915210175,207
AIDA2_betaWFB,17.5,2.7518359042850196,3.445558183530713,3.7414316089899575,3.0145000912097912,4.10226884187628,2.604718956739458,3.435948252165024,204
AIDA2_betauFB,2.5,1.485865136851435,3.0046901850325907,2.7774835017932973,2.383053840142147,2.632421023644084,1.6308392667896427,1.9943644803436475,207
AIDA2_betauFB,7.5,1.849620345726754,3.382207552042948,3.358290645395971,2.7908741506673467,3.1604360389049364,1.9630179052214587,2.4691816742187958,206
AIDA2_betauFB,12.5,2.2053237543013937,3.46768382730218,3.6030536796881347,2.9545999342340292,3.6200019099321064,2.2599166096476773,2.895133522451833,207
AIDA2_betauFB,17.5,2.7016075323609745,3.4629832587760263,3.7281040117879995,3.02214628027645,4.070541701944153,2.622415161315842,3.3944049551688127,204
AIDA2_thetaWFB,2.5,1.446324983080804,2.929131983630145,3.420234314771429,2.4630347975712485,2.568212155313954,1.7809590401838948,1.941740679782365,207
AIDA2_thetaWFB,7.5,1.6993549269379922,3.1153388623133726,3.7342484199180177,2.7220331464177114,3.01875698216472,2.015462309620036,2.3190751523854316,206
AIDA2_thetaWFB,12.5,1.8805226012704452,3.228278230270424,3.8733785854762615,2.8812683791651637,3.366328425812328,2.16682114908789,2.5998823697380744,207
AIDA2_thetaWFB,17.5,2.0063005750085794,3.2607573106459555,3.9521977207409664,2.949994373580324,3.5922264498082597,2.2977348961681345,2.7909079049689423,204
AIDA2_thetauFB,2.5,1.3857989967733189,2.9277653512367348,3.2688122260777757,2.429353366188964,2.4090445383729833,1.7883361390818138,1.8298338903620086,207
AIDA2_thetauFB,7.5,1.6191929555633693,3.1461107830128396,3.6847434237467414,2.726927238670874,2.8615973696500716,2.0177874999474947,2.2008303408167196,206
AIDA2_thetauFB,12.5,1.809717567646561,3.2457300995818845,3.8586134896819355,2.891112006562043,3.235979911993461,2.1779057247722733,2.5011497301309187,207
AIDA2_thetauFB,17.5,2.0220760036917294,3.3016575248416866,3.951635796002829,2.9871249583872315,3.548346789498347,2.3410807121657315,2.778989355756653,204
SEM,2.5,1.5217829418643085,3.0174053427385163,2.8377900261256777,2.4009522991868746,2.675753190892541,1.619776530038409,2.0346720232617765,207
SEM,7.5,1.9050522076273428,3.355652238806442,3.3767951051513245,2.7825897541036873,3.213233932874176,1.949582478195335,2.522576459718323,206
SEM,12.5,2.239288776393098,3.446288027011261,3.612798198576382,2.9438904530514822,3.6523440995861787,2.22757184651465,2.9266882254883413,207
SEM,17.5,2.7503700758896623,3.439912696953453,3.7547170017593166,3.016895672370054,4.103955214438821,2.605214304993556,3.4345308668079553,204
SEM_lit,2.5,1.6013968353686125,3.08365477765587,3.067377126283534,2.4914584059267395,2.7019484786127728,1.7441244574619807,2.0894676953008844,207
SEM_lit,7.5,1.9892240936316332,3.305697665455239,3.4975417393214414,2.7789119903379533,3.237492909458562,2.0748226166223245,2.5778291584359043,206
SEM_lit,12.5,2.291461555854134,3.366410576243587,3.6721723195581757,2.9021758060647014,3.6570358552637403,2.3280953141139635,2.9556676315485606,207
SEM_lit,17.5,2.784605283947552,3.3614015258606247,3.7715992287537925,2.9523262234034697,4.105670845269955,2.6616386361702276,3.449086079787491,204
SEM_lit_uFB,2.5,1.522789750698108,3.05069350676081,2.9803611265114345,2.4645107780287554,2.6239544160530874,1.7357635674626757,2.0094669348754275,207
SEM_lit_uFB,7.5,1.8834818121299004,3.3332686529014857,3.4710123612600863,2.7951166695751746,3.13763423055942,2.064012880953581,2.4750853387555476,206
SEM_lit_uFB,12.5,2.204634541474679,3.3953654618831997,3.6804901656230298,2.932149546071781,3.572302184783589,2.3337928196892896,2.8710147408323192,207
SEM_lit_uFB,17.5,2.6657845991499283,3.389184931280727,3.7800094870756893,2.982922288204667,4.006294232382641,2.6493272694350467,3.33897912228254,204
SEM_uFB,2.5,1.4888810069088774,3.0026858359554502,2.7784767413269744,2.3825229226518383,2.6271598320104577,1.6329149934060716,1.9931205515268413,207
SEM_uFB,7.5,1.852119564431385,3.379831218466396,3.3637545124089936,2.7915032244578803,3.1552680707839995,1.9655013824656267,2.4677262384440675,206
SEM_uFB,12.5,2.2036847855157897,3.4643880226323436,3.6057461562004574,2.9537918766799085,3.6129585001475486,2.2598112633753806,2.89068477364154,207
SEM_uFB,17.5,2.7046299366390003,3.4596981877380135,3.733363545893277,3.0221286094105366,4.069514247963991,2.6240229995900157,3.394691196367224,204
Unprocessed,2.5,1.4170418586132032,2.906175807900512,2.4738906187313,2.2136211586288175,2.6099786071023447,1.7682139234050898,1.9493657158709286,207
Unprocessed,7.5,1.7574148756786458,3.3695584237179976,3.026997031706666,2.6517404510256726,3.131382783674958,2.207126540831652,2.4090274200073716,206
Unprocessed,12.5,2.095886736676313,3.490737775814848,3.3513340685065907,2.863670480303342,3.5792326358129403,2.6250611596339315,2.820592021143637,207
Unprocessed,17.5,2.5957953088423786,3.52767625991798,3.5870597772527595,3.003788698891484,4.036602005442465,3.1677822629028465,3.3258057878358653,204
